,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone,family size
1,1,1,female,38,1,0,71.2833,C,First,woman,FALSE,C,Cherbourg,yes,FALSE,1
3,1,1,female,35,1,0,53.1,S,First,woman,FALSE,C,Southampton,yes,FALSE,1
6,0,1,male,54,0,0,51.8625,S,First,man,TRUE,E,Southampton,no,TRUE,0
10,1,3,female,4,1,1,16.7,S,Third,child,FALSE,G,Southampton,yes,FALSE,2
11,1,1,female,58,0,0,26.55,S,First,woman,FALSE,C,Southampton,yes,TRUE,0
21,1,2,male,34,0,0,13,S,Second,man,TRUE,D,Southampton,yes,TRUE,0
23,1,1,male,28,0,0,35.5,S,First,man,TRUE,A,Southampton,yes,TRUE,0
27,0,1,male,19,3,2,263,S,First,man,TRUE,C,Southampton,no,FALSE,5
31,1,1,female,29.69911765,1,0,146.5208,C,First,woman,FALSE,B,Cherbourg,yes,FALSE,1
52,1,1,female,49,1,0,76.7292,C,First,woman,FALSE,D,Cherbourg,yes,FALSE,1
54,0,1,male,65,0,1,61.9792,C,First,man,TRUE,B,Cherbourg,no,FALSE,1
55,1,1,male,29.69911765,0,0,35.5,S,First,man,TRUE,C,Southampton,yes,TRUE,0
62,0,1,male,45,1,0,83.475,S,First,man,TRUE,C,Southampton,no,FALSE,1
66,1,2,female,29,0,0,10.5,S,Second,woman,FALSE,F,Southampton,yes,TRUE,0
75,0,3,male,25,0,0,7.65,S,Third,man,TRUE,F,Southampton,no,TRUE,0
88,1,1,female,23,3,2,263,S,First,woman,FALSE,C,Southampton,yes,FALSE,5
92,0,1,male,46,1,0,61.175,S,First,man,TRUE,E,Southampton,no,FALSE,1
96,0,1,male,71,0,0,34.6542,C,First,man,TRUE,A,Cherbourg,no,TRUE,0
97,1,1,male,23,0,1,63.3583,C,First,man,TRUE,D,Cherbourg,yes,FALSE,1
102,0,1,male,21,0,1,77.2875,S,First,man,TRUE,D,Southampton,no,FALSE,1
110,0,1,male,47,0,0,52,S,First,man,TRUE,C,Southampton,no,TRUE,0
118,0,1,male,24,0,1,247.5208,C,First,man,TRUE,B,Cherbourg,no,FALSE,1
123,1,2,female,32.5,0,0,13,S,Second,woman,FALSE,E,Southampton,yes,TRUE,0
124,0,1,male,54,0,1,77.2875,S,First,man,TRUE,D,Southampton,no,FALSE,1
128,1,3,female,29.69911765,1,1,22.3583,C,Third,woman,FALSE,F,Cherbourg,yes,FALSE,2
136,1,1,female,19,0,2,26.2833,S,First,woman,FALSE,D,Southampton,yes,FALSE,2
137,0,1,male,37,1,0,53.1,S,First,man,TRUE,C,Southampton,no,FALSE,1
139,0,1,male,24,0,0,79.2,C,First,man,TRUE,B,Cherbourg,no,TRUE,0
148,0,2,male,36.5,0,2,26,S,Second,man,TRUE,F,Southampton,no,FALSE,2
151,1,1,female,22,1,0,66.6,S,First,woman,FALSE,C,Southampton,yes,FALSE,1
166,1,1,female,29.69911765,0,1,55,S,First,woman,FALSE,E,Southampton,yes,FALSE,1
170,0,1,male,61,0,0,33.5,S,First,man,TRUE,B,Southampton,no,TRUE,0
174,0,1,male,56,0,0,30.6958,C,First,man,TRUE,A,Cherbourg,no,TRUE,0
177,0,1,female,50,0,0,28.7125,C,First,woman,FALSE,C,Cherbourg,no,TRUE,0
183,1,2,male,1,2,1,39,S,Second,child,FALSE,F,Southampton,yes,FALSE,3
185,0,1,male,29.69911765,0,0,50,S,First,man,TRUE,A,Southampton,no,TRUE,0
193,1,2,male,3,1,1,26,S,Second,child,FALSE,F,Southampton,yes,FALSE,2
194,1,1,female,44,0,0,27.7208,C,First,woman,FALSE,B,Cherbourg,yes,TRUE,0
195,1,1,female,58,0,0,146.5208,C,First,woman,FALSE,B,Cherbourg,yes,TRUE,0
205,0,3,female,2,0,1,10.4625,S,Third,child,FALSE,G,Southampton,no,FALSE,1
209,1,1,male,40,0,0,31,C,First,man,TRUE,A,Cherbourg,yes,TRUE,0
215,1,1,female,31,1,0,113.275,C,First,woman,FALSE,D,Cherbourg,yes,FALSE,1
218,1,1,female,32,0,0,76.2917,C,First,woman,FALSE,D,Cherbourg,yes,TRUE,0
224,1,1,male,38,1,0,90,S,First,man,TRUE,C,Southampton,yes,FALSE,1
230,1,1,female,35,1,0,83.475,S,First,woman,FALSE,C,Southampton,yes,FALSE,1
245,0,1,male,44,2,0,90,Q,First,man,TRUE,C,Queenstown,no,FALSE,2
248,1,1,male,37,1,1,52.5542,S,First,man,TRUE,D,Southampton,yes,FALSE,2
251,0,3,female,29,1,1,10.4625,S,Third,woman,FALSE,G,Southampton,no,FALSE,2
252,0,1,male,62,0,0,26.55,S,First,man,TRUE,C,Southampton,no,TRUE,0
257,1,1,female,30,0,0,86.5,S,First,woman,FALSE,B,Southampton,yes,TRUE,0
262,0,1,male,52,1,1,79.65,S,First,man,TRUE,E,Southampton,no,FALSE,2
263,0,1,male,40,0,0,0,S,First,man,TRUE,B,Southampton,no,TRUE,0
268,1,1,female,58,0,1,153.4625,S,First,woman,FALSE,C,Southampton,yes,FALSE,1
